Survey Date,Survey Year,Borough,Carriageway,Covered,Secure,Locker,Sheffield Stand,"""M"" stand","""P"" stand",Cyclehoop,Post,Butterfly,Wheel Rack,Bike Hangar,Two Tier,Other,Capacity
27/10/2017,2017,Newham,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6
28/10/2017,2017,Greenwich,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10
03/11/2017,2017,Greenwich,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6
07/11/2017,2017,Bexley,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6
08/11/2017,2017,Newham,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
08/11/2017,2017,Newham,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18
09/11/2017,2017,Greenwich,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
10/11/2017,2017,Greenwich,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10
10/11/2017,2017,Bexley,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6
10/11/2017,2017,Bexley,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6
16/11/2017,2017,Lewisham,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6
29/01/2018,2018,Bromley,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8
29/11/2017,2017,Bromley,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
29/11/2017,2017,Croydon,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6
30/11/2017,2017,Bromley,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6
01/02/2018,2018,Bromley,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
13/02/2018,2018,Redbridge,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14
28/12/2017,2017,Ealing,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
03/01/2018,2018,Ealing,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
22/01/2018,2018,Hillingdon,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
24/01/2018,2018,Hillingdon,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
16/01/2018,2018,Harrow,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10
15/02/2018,2018,Brent,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
16/02/2018,2018,Barnet,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
21/02/2018,2018,Barnet,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
24/10/2017,2017,Newham,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
30/05/2017,2017,Camden,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
31/05/2017,2017,Camden,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
31/05/2017,2017,Camden,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
06/01/2017,2017,Camden,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10
06/02/2017,2017,Camden,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
06/02/2017,2017,Camden,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
06/03/2017,2017,Camden,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
04/06/2017,2017,Islington,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6
04/06/2017,2017,Islington,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
04/06/2017,2017,Islington,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12
04/06/2017,2017,Islington,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
04/06/2017,2017,Islington,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
05/06/2017,2017,Islington,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6
06/06/2017,2017,Islington,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
06/06/2017,2017,Islington,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
06/06/2017,2017,Islington,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6
08/06/2017,2017,Islington,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
08/06/2017,2017,Camden,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8
09/06/2017,2017,Islington,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8
11/06/2017,2017,Hackney,1,0,0,0,1,0,0,0,0,0,0,0,0,0,20
11/06/2017,2017,Hackney,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10
11/06/2017,2017,Hackney,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8
11/06/2017,2017,Hackney,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
11/06/2017,2017,Hackney,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6
11/06/2017,2017,Hackney,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
11/06/2017,2017,Hackney,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6
12/06/2017,2017,Hackney,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
12/06/2017,2017,Hackney,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
12/06/2017,2017,Hackney,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12
12/06/2017,2017,TowerHamlets,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8
13/06/2017,2017,Hackney,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
13/06/2017,2017,Hackney,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6
13/06/2017,2017,Hackney,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
14/06/2017,2017,Hackney,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
15/06/2017,2017,TowerHamlets,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
15/06/2017,2017,Hackney,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
15/06/2017,2017,Hackney,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
16/06/2017,2017,Hackney,1,0,0,0,1,0,0,0,0,0,0,0,0,0,16
16/06/2017,2017,Hackney,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
19/06/2017,2017,Westminster,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
07/09/2017,2017,Westminster,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6
20/06/2017,2017,Hammersmith&Fulham,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
07/09/2017,2017,Westminster,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6
07/09/2017,2017,Westminster,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
26/10/2017,2017,Kensington&Chelsea,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
21/06/2017,2017,Westminster,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6
21/06/2017,2017,Hammersmith&Fulham,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8
07/09/2017,2017,Kensington&Chelsea,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
07/09/2017,2017,Westminster,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
26/10/2017,2017,Kensington&Chelsea,0,1,0,0,1,0,0,0,0,0,0,0,0,0,10
15/08/2017,2017,Hackney,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
15/08/2017,2017,Hackney,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
16/08/2017,2017,Camden,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12
16/08/2017,2017,Hackney,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
19/08/2017,2017,Hackney,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
06/02/2017,2017,Westminster,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
20/07/2017,2017,Camden,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
20/07/2017,2017,Camden,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6
20/07/2017,2017,Camden,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12
21/08/2017,2017,Camden,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6
22/08/2017,2017,Camden,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6
22/08/2017,2017,Camden,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
23/08/2017,2017,Camden,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
08/06/2017,2017,Hackney,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14
15/06/2017,2017,Hackney,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
23/08/2017,2017,Hackney,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
24/08/2017,2017,Hackney,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6
24/08/2017,2017,Hackney,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
28/08/2017,2017,Hackney,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
29/08/2017,2017,Hackney,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
30/08/2017,2017,Hackney,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6
13/06/2017,2017,Hackney,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
23/06/2017,2017,Hammersmith&Fulham,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
25/06/2017,2017,Kensington&Chelsea,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8
10/07/2017,2017,Hammersmith&Fulham,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
10/07/2017,2017,Hammersmith&Fulham,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
10/07/2017,2017,Hammersmith&Fulham,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
11/07/2017,2017,Hammersmith&Fulham,0,0,0,0,1,0,0,0,0,0,0,0,0,0,28
11/07/2017,2017,Hammersmith&Fulham,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
11/07/2017,2017,Hammersmith&Fulham,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
11/07/2017,2017,Hammersmith&Fulham,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
11/07/2017,2017,Hammersmith&Fulham,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
11/07/2017,2017,Hammersmith&Fulham,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
11/07/2017,2017,Hammersmith&Fulham,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
11/07/2017,2017,Kensington&Chelsea,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
11/07/2017,2017,Hammersmith&Fulham,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
11/07/2017,2017,Hammersmith&Fulham,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10
11/07/2017,2017,Hammersmith&Fulham,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
11/07/2017,2017,Hammersmith&Fulham,0,1,1,0,1,0,0,0,0,0,0,0,0,0,24
12/07/2017,2017,Hammersmith&Fulham,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
12/07/2017,2017,Hammersmith&Fulham,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
